review,sentiment
"Not good, expected something better.",negative
"Product is okay, nothing special.",neutral
Defective piece received from Flipkart.,negative
Decent product but could be better.,neutral
"Product is okay, nothing special.",neutral
"Quality is average, acceptable for price.",neutral
"Fantastic product, Flipkart delivered on time.",positive
"Average performance, not too impressive.",neutral
Product looks different from images.,negative
"Stopped working after a week, horrible quality.",negative
"Doesn't work properly, very dissatisfied.",negative
"Fantastic product, Flipkart delivered on time.",positive
Defective piece received from Flipkart.,negative
"Worst product ever, broke within days.",negative
"Great experience, product is exactly as described.",positive
"Doesn't work properly, very dissatisfied.",negative
"Value for money, highly recommended!",positive
"Product is okay, nothing special.",neutral
"Satisfactory product, serves the purpose.",neutral
"Excellent performance, exceeded my expectations.",positive
"Cheap material used, not worth buying.",negative
"Average performance, not too impressive.",neutral
"Worst product ever, broke within days.",negative
"Stopped working after a week, horrible quality.",negative
"Cheap material used, not worth buying.",negative
"Packaging was simple, product is usable.",neutral
Superb quality! I am very satisfied.,positive
"Product is okay, nothing special.",neutral
Defective piece received from Flipkart.,negative
"Average performance, not too impressive.",neutral
"Battery life is great, smooth performance.",positive
"Excellent performance, exceeded my expectations.",positive
Decent product but could be better.,neutral
"Very bad quality, completely disappointed.",negative
"Product is okay, nothing special.",neutral
"Terrible experience, waste of money.",negative
"Value for money, highly recommended!",positive
"Worst product ever, broke within days.",negative
"Stopped working after a week, horrible quality.",negative
"Delivery was normal, product as expected.",neutral
Defective piece received from Flipkart.,negative
"Terrible experience, waste of money.",negative
"Very bad quality, completely disappointed.",negative
"Cheap material used, not worth buying.",negative
"Quality is average, acceptable for price.",neutral
Superb quality! I am very satisfied.,positive
"Value for money, highly recommended!",positive
Fast delivery and great packaging!,positive
"Top-notch build quality, very impressed!",positive
Fast delivery and great packaging!,positive
"Amazing product, totally worth the money!",positive
"Not good, expected something better.",negative
"I love this product, works perfectly.",positive
"Neither good nor bad, just fine.",neutral
"Worst product ever, broke within days.",negative
"Terrible experience, waste of money.",negative
"Cheap material used, not worth buying.",negative
Superb quality! I am very satisfied.,positive
"Value for money, highly recommended!",positive
"Amazing product, totally worth the money!",positive
"Terrible experience, waste of money.",negative
"Value for money, highly recommended!",positive
Superb quality! I am very satisfied.,positive
Superb quality! I am very satisfied.,positive
"Value for money, highly recommended!",positive
"Packaging was simple, product is usable.",neutral
"Very bad quality, completely disappointed.",negative
"Very bad quality, completely disappointed.",negative
"Neither good nor bad, just fine.",neutral
"Doesn't work properly, very dissatisfied.",negative
"Great experience, product is exactly as described.",positive
Decent product but could be better.,neutral
"Average performance, not too impressive.",neutral
"It's okay for daily use, nothing remarkable.",neutral
"Fantastic product, Flipkart delivered on time.",positive
Defective piece received from Flipkart.,negative
Defective piece received from Flipkart.,negative
"Excellent performance, exceeded my expectations.",positive
"Quality is average, acceptable for price.",neutral
"I love this product, works perfectly.",positive
"Value for money, highly recommended!",positive
"Quality is average, acceptable for price.",neutral
"Terrible experience, waste of money.",negative
"Worst product ever, broke within days.",negative
"It's okay for daily use, nothing remarkable.",neutral
Superb quality! I am very satisfied.,positive
"Fantastic product, Flipkart delivered on time.",positive
Works fine but build quality isn't great.,neutral
Superb quality! I am very satisfied.,positive
"Satisfactory product, serves the purpose.",neutral
"Delivery was normal, product as expected.",neutral
Fast delivery and great packaging!,positive
Fast delivery and great packaging!,positive
"Worst product ever, broke within days.",negative
"Worst product ever, broke within days.",negative
Delivery was late and package was damaged.,negative
"Satisfactory product, serves the purpose.",neutral
"Value for money, highly recommended!",positive
"Doesn't work properly, very dissatisfied.",negative
"Packaging was simple, product is usable.",neutral
"Not good, expected something better.",negative
"Very bad quality, completely disappointed.",negative
Fast delivery and great packaging!,positive
"Not good, expected something better.",negative
"Terrible experience, waste of money.",negative
"Packaging was simple, product is usable.",neutral
"I love this product, works perfectly.",positive
Delivery was late and package was damaged.,negative
"Average performance, not too impressive.",neutral
"Delivery was normal, product as expected.",neutral
"Very bad quality, completely disappointed.",negative
"Very bad quality, completely disappointed.",negative
"Delivery was normal, product as expected.",neutral
"Doesn't work properly, very dissatisfied.",negative
"Not good, expected something better.",negative
Defective piece received from Flipkart.,negative
Defective piece received from Flipkart.,negative
"I love this product, works perfectly.",positive
"Excellent performance, exceeded my expectations.",positive
Product looks different from images.,negative
"Battery life is great, smooth performance.",positive
"Doesn't work properly, very dissatisfied.",negative
"Delivery was normal, product as expected.",neutral
"Very bad quality, completely disappointed.",negative
Fast delivery and great packaging!,positive
Works fine but build quality isn't great.,neutral
"Stopped working after a week, horrible quality.",negative
"I love this product, works perfectly.",positive
Fast delivery and great packaging!,positive
"Neither good nor bad, just fine.",neutral
"Excellent performance, exceeded my expectations.",positive
"Top-notch build quality, very impressed!",positive
"Worst product ever, broke within days.",negative
Defective piece received from Flipkart.,negative
"Terrible experience, waste of money.",negative
"Product is okay, nothing special.",neutral
"Product is okay, nothing special.",neutral
"Battery life is great, smooth performance.",positive
"Top-notch build quality, very impressed!",positive
"Very bad quality, completely disappointed.",negative
"Very bad quality, completely disappointed.",negative
"Product is okay, nothing special.",neutral
"Terrible experience, waste of money.",negative
"Doesn't work properly, very dissatisfied.",negative
"Satisfactory product, serves the purpose.",neutral
"Worst product ever, broke within days.",negative
"Quality is average, acceptable for price.",neutral
Defective piece received from Flipkart.,negative
"Not good, expected something better.",negative
"Excellent performance, exceeded my expectations.",positive
"Fantastic product, Flipkart delivered on time.",positive
"Neither good nor bad, just fine.",neutral
Delivery was late and package was damaged.,negative
Defective piece received from Flipkart.,negative
"It's okay for daily use, nothing remarkable.",neutral
"Satisfactory product, serves the purpose.",neutral
Works fine but build quality isn't great.,neutral
"I love this product, works perfectly.",positive
"Value for money, highly recommended!",positive
"Not good, expected something better.",negative
"It's okay for daily use, nothing remarkable.",neutral
"I love this product, works perfectly.",positive
"Doesn't work properly, very dissatisfied.",negative
"It's okay for daily use, nothing remarkable.",neutral
Decent product but could be better.,neutral
"Fantastic product, Flipkart delivered on time.",positive
"Worst product ever, broke within days.",negative
"Neither good nor bad, just fine.",neutral
"Not good, expected something better.",negative
"Fantastic product, Flipkart delivered on time.",positive
"Neither good nor bad, just fine.",neutral
"Excellent performance, exceeded my expectations.",positive
"Average performance, not too impressive.",neutral
"Top-notch build quality, very impressed!",positive
"Delivery was normal, product as expected.",neutral
Delivery was late and package was damaged.,negative
"Neither good nor bad, just fine.",neutral
"Top-notch build quality, very impressed!",positive
"Terrible experience, waste of money.",negative
"Very bad quality, completely disappointed.",negative
"Excellent performance, exceeded my expectations.",positive
Fast delivery and great packaging!,positive
"Packaging was simple, product is usable.",neutral
"Great experience, product is exactly as described.",positive
"Stopped working after a week, horrible quality.",negative
"Excellent performance, exceeded my expectations.",positive
"Quality is average, acceptable for price.",neutral
"Value for money, highly recommended!",positive
Decent product but could be better.,neutral
"Average performance, not too impressive.",neutral
"Not good, expected something better.",negative
"Delivery was normal, product as expected.",neutral
"Great experience, product is exactly as described.",positive
"Terrible experience, waste of money.",negative
"Satisfactory product, serves the purpose.",neutral
"Stopped working after a week, horrible quality.",negative
